anio;id;codigo_iccs;tipo;estado_civil;estatus_migratorio;edad;sexo;genero;Nacionalidad;autoidentificacion_etnica;numero_detenciones;nivel_de_instruccion;condicion;movilizacion;tipo_arma;arma;fecha_detencion_aprehension;hora_detencion_aprehension;lugar;tipo_lugar;codigo_distrito;codigo_circuito;codigo_subcircuito;nombre_zona;nombre_subzona;nombre_distrito;nombre_circuito;nombre_subcircuito;codigo_provincia;codigo_canton;codigo_parroquia;nombre_provincia;nombre_canton;nombre_parroquia;presunta_flagrancia;presunta_infraccion;presunta_subinfraccion;presunta_modalidad
2024;1;90510.03;DETENIDO;CASADO/A;NO APLICA;44;HOMBRE;MASCULINO;ECUATORIANO;MESTIZO/A;0;EDUCACION INICIAL;NORMAL;AUTOMOVIL;NINGUNA;NINGUNA;24-01-24;10:50;VIA PUBLICA;AREAS DE ACCESO PUBLICO;01D02;01D02C08;01D02C08S01;ZONA 6;AZUAY;CUENCA SUR;SAN SEBASTIAN;SAN SEBASTIAN 1;1;101;10150;AZUAY;CUENCA;CUENCA;NO;TERRORISMO Y SU FINANCIACION;ASOCIACION ILICITA;SIN DATO
2024;2;90510.01;DETENIDO;CASADO/A;NO APLICA;60;HOMBRE;MASCULINO;ECUATORIANO;MESTIZO/A;0;NO APLICA;NORMAL;SIN DATO;NINGUNA;NINGUNA;26-01-24;13:30;VIA PUBLICA;AREAS DE ACCESO PUBLICO;24D01;24D01C04;24D01C04S02;ZONA 5;SANTA ELENA;SANTA ELENA;SANTA ELENA CENTRO;SANTA ELENA CENTRO 2;24;2401;240150;SANTA ELENA;SANTA ELENA;SANTA ELENA;SI;TERRORISMO Y SU FINANCIACION;DELINCUENCIA ORGANIZADA;SIN DATO
2024;3;80900.02;APREHENDIDO;SOLTERO/A;REGULAR;21;HOMBRE;MASCULINO;ECUATORIANO;MESTIZO/A;0;EDUCACION GENERAL BASICA;SIN DATO;MOTOCICLETA;NINGUNA;NINGUNA;19-01-24;1:56;VIA PUBLICA;AREAS DE ACCESO PUBLICO;19D03;19D03C03;19D03C03S01;ZONA 7;ZAMORA CHINCHIPE;CHINCHIPE;ZUMBA;ZUMBA 1;19;1902;190250;ZAMORA CHINCHIPE;CHINCHIPE;ZUMBA;SI;DELITOS CONTRA LA EFICIENCIA DE LA ADMINISTRACION PUBLICA;INCUMPLIMIENTO DE DECISIONES LEGITIMAS DE AUTORIDAD COMPETENTE;SIN DATO
2024;4;90111.03;APREHENDIDO;SIN DATO;SIN DATO;22;HOMBRE;MASCULINO;VENEZOLANO;MESTIZO/A;0;SIN DATO;SIN DATO;CAMIONETA;NINGUNA;NINGUNA;14-01-24;2:15;VIA PUBLICA;AREAS DE ACCESO PUBLICO;03D03;03D03C02;03D03C02S02;ZONA 6;CAÑAR;LA TRONCAL;TRONCAL CENTRO;TRONCAL CENTRO 2;3;304;30450;CAÑAR;LA TRONCAL;LA TRONCAL;SI;DELITOS CONTRA LA SEGURIDAD PUBLICA;TENENCIA Y PORTE DE ARMAS;SIN DATO
2024;5;4011;APREHENDIDO;SIN DATO;SIN DATO;35;HOMBRE;MASCULINO;VENEZOLANO;MESTIZO/A;0;NO APLICA;NORMAL;MOTOCICLETA;ARMAS BLANCAS (OBJETO CORTANTE O PUNZANTE);DESTORNILLADOR;18-01-24;16:25;TROCHA;AREAS DE ACCESO PUBLICO;17D03;17D03C17;17D03C17S05;ZONA 9;DMQ;LA DELICIA;CARCELEN;CARCELEN 5;17;1701;170150;PICHINCHA;QUITO;QUITO;SI;DELITOS CONTRA EL DERECHO A LA PROPIEDAD;ROBO A PERSONAS;ASALTO
2024;6;110900.06;APREHENDIDO;SOLTERO/A;NO APLICA;19;HOMBRE;MASCULINO;ECUATORIANO;MESTIZO/A;0;NO APLICA;NORMAL;A PIE;ARMAS BLANCAS (OBJETO CORTANTE O PUNZANTE);TIJERAS;29-01-24;22:00;CAI MASCULINO-LOJA;CENTRO DE ADOLESCENTES INFRACTORES (CAI);11D01;11D01C10;11D01C10S01;ZONA 7;LOJA;LOJA;TEBAIDA;TEBAIDA 1;11;1101;110150;LOJA;LOJA;LOJA;SI;CONTRAVENCIONES;CONTRAVENCIONES DE CUARTA CLASE;LA PERSONA QUE SIN LA DEBIDA AUTORIZACION DEL ORGANISMO COMPETENTE ELABORE O COMERCIALICE MATERIAL PIROTECNICO. MATERIAL PIROTECNICO.
2024;7;0;DETENIDO;SOLTERO/A;SIN DATO;29;HOMBRE;MASCULINO;ECUATORIANO;MESTIZO/A;0;SIN DATO;SIN DATO;SIN DATO;NINGUNA;NINGUNA;18-01-24;18:35;ESPACIO PRIVADO;AREA PRIVADA;07D01;07D01C10;07D01C10S01;ZONA 7;EL ORO;PASAJE;OCHOA LEON;OCHOA LEON 1;7;709;70950;EL ORO;PASAJE;PASAJE;NO;BOLETAS;BOLETA DE APREMIO;SIN DATO
2024;8;0;APREHENDIDO;CASADO/A;NO APLICA;39;MUJER;FEMENINO;ECUATORIANO;SIN DATO;0;SIN DATO;NORMAL;SIN DATO;NINGUNA;NINGUNA;17-01-24;2:20;OTRO LOCAL COMERCIAL;AREAS DEDICADAS AL COMERCIO;17D02;17D02C10;17D02C10S02;ZONA 9;DMQ;CALDERON;GUAYLLABAMBA;GUAYLLABAMBA 2;17;1701;170163;PICHINCHA;QUITO;GUAYLLABAMBA;SI;DELITOS CONTRA EL DERECHO A LA PROPIEDAD;ROBO A  UNIDADES ECONOMICAS;ASALTO
2024;9;40121.03;APREHENDIDO;SOLTERO/A;REGULAR;26;HOMBRE;MASCULINO;ECUATORIANO;MESTIZO/A;0;BACHILLERATO;NORMAL;AUTOMOVIL;NINGUNA;NINGUNA;31-01-24;18:00;VIA PUBLICA;AREAS DE ACCESO PUBLICO;09D01;09D01C05;09D01C05S02;ZONA 8;DMG;SUR;CENTENARIO;CENTENARIO 2;9;901;90150;GUAYAS;GUAYAQUIL;GUAYAQUIL;SI;DELITOS CONTRA EL DERECHO A LA PROPIEDAD;ROBO DE CARROS;ASALTO
2024;10;0;DETENIDO;CASADO/A;SIN DATO;39;HOMBRE;MASCULINO;ECUATORIANO;MESTIZO/A;0;EDUCACION GENERAL BASICA;NORMAL;SIN DATO;NINGUNA;NINGUNA;1/7/2024;20:30;VIA PUBLICA;AREAS DE ACCESO PUBLICO;17D11;17D11C05;17D11C05S01;ZONA 2;PICHINCHA;RUMIÑAHUI - MEJIA;ALOAG;ALOAG 1;17;1703;170351;PICHINCHA;MEJIA;ALOAG;NO;BOLETAS;BOLETA DE APREMIO;SIN DATO
2024;11;60124.01;APREHENDIDO;SOLTERO/A;SIN DATO;19;MUJER;FEMENINO;ECUATORIANO;MESTIZO/A;0;SIN DATO;NORMAL;A PIE;NINGUNA;NINGUNA;1/6/2024;18:55;ESPACIO PRIVADO;AREA PRIVADA;09D08;09D08C05;09D08C05S03;ZONA 8;DMG;NUEVA PROSPERINA;MONTE SINAI;MONTE SINAI 3;9;901;90150;GUAYAS;GUAYAQUIL;GUAYAQUIL;SI;DELITOS POR LA PRODUCCION O TRAFICO ILICITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACION;TRAFICO ILICITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACION;SIN DATO
2024;12;0;DETENIDO;SOLTERO/A;NO APLICA;51;HOMBRE;MASCULINO;ECUATORIANO;MESTIZO/A;0;SIN DATO;NORMAL;A PIE;NINGUNA;NINGUNA;1/8/2024;21:00;TERMINAL TERRESTRE;TRANSPORTE;17D03;17D03C09;17D03C09S03;ZONA 9;DMQ;LA DELICIA;PONCIANO;PONCIANO 3;17;1701;170150;PICHINCHA;QUITO;QUITO;NO;BOLETAS;BOLETA DE DETENCION/CAPTURA;SIN DATO
2024;13;80900.02;APREHENDIDO;SOLTERO/A;SIN DATO;20;HOMBRE;MASCULINO;ECUATORIANO;MESTIZO/A;0;SIN DATO;NORMAL;MOTOCICLETA;NINGUNA;NINGUNA;30-01-24;13:00;VIA PUBLICA;AREAS DE ACCESO PUBLICO;13D02;13D02C10;13D02C10S04;ZONA 4;MANABI;MANTA;CUBA;CUBA 4;13;1308;130850;MANABI;MANTA;MANTA;SI;DELITOS CONTRA LA EFICIENCIA DE LA ADMINISTRACION PUBLICA;INCUMPLIMIENTO DE DECISIONES LEGITIMAS DE AUTORIDAD COMPETENTE;SIN DATO
2024;14;20190.01;APREHENDIDO;SOLTERO/A;NO APLICA;23;HOMBRE;MASCULINO;COLOMBIANO;AFROECUATORIANO/A  AFRODESCENDIENTE;0;NO APLICA;BAJO LOS EFECTOS DE SUSTANCIAS ESTUPEFACIENTES, PSICOTROPICAS O PREPARADOS QUE LAS CONTENGAN;SIN DATO;ARMAS BLANCAS (OBJETO CORTANTE O PUNZANTE);CUCHILLO;1/8/2024;3:30;VIA PUBLICA;AREAS DE ACCESO PUBLICO;10D01;10D01C10;10D01C10S01;ZONA 1;IMBABURA;CIUDAD BLANCA;ESTADIO;ESTADIO 1;10;1001;100150;IMBABURA;IBARRA;SAN MIGUEL DE IBARRA;SI;DELITOS CONTRA LA EFICIENCIA DE LA ADMINISTRACION PUBLICA;ATAQUE O RESISTENCIA;SIN DATO
2024;15;70490.03;DETENIDO;SOLTERO/A;REGULAR;34;HOMBRE;MASCULINO;ECUATORIANO;MESTIZO/A;0;SIN DATO;NORMAL;AUTOMOVIL;NINGUNA;NINGUNA;18-01-24;10:55;GASOLINERA;LUGARES QUE PRESTAN SERVICIOS;17D02;17D02C02;17D02C02S04;ZONA 9;DMQ;CALDERON;CALDERON;CALDERON 4;17;1701;170155;PICHINCHA;QUITO;CALDERON (CARAPUNGO);SI;DELITOS CONTRA EL DERECHO A LA PROPIEDAD;RECEPTACION;SIN DATO
2024;16;90700.01;APREHENDIDO;SOLTERO/A;SIN DATO;34;HOMBRE;MASCULINO;ECUATORIANO;MONTUBIO/A;0;SIN DATO;NORMAL;MOTOCICLETA;NINGUNA;NINGUNA;1/6/2024;11:40;VIA PUBLICA;AREAS DE ACCESO PUBLICO;12D06;12D06C07;12D06C07S01;ZONA 5;LOS RIOS;BUENA FE;LA NUEVA UNION;LA NUEVA UNION 1;12;1211;121150;LOS RIOS;VALENCIA;VALENCIA;SI;CONTRAVENCIONES DE TRANSITO;CONTRAVENCIONES DE TRANSITO DE PRIMERA CLASE;LA PERSONA QUE CONDUZCA SIN HABER OBTENIDO LICENCIA.
2024;17;20111.11;APREHENDIDO;CASADO/A;SIN DATO;32;HOMBRE;MASCULINO;CUBANO;SIN DATO;0;SIN DATO;NORMAL;A PIE;NINGUNA;NINGUNA;1/10/2024;9:30;ESPACIO PRIVADO;AREA PRIVADA;17D05;17D05C01;17D05C01S03;ZONA 9;DMQ;EUGENIO ESPEJO;AEROPUERTO;AEROPUERTO 3;17;1701;170150;PICHINCHA;QUITO;QUITO;SI;DELITOS DE VIOLENCIA CONTRA LA MUJER O MIEMBROS DEL NUCLEO FAMILIAR;VIOLENCIA FISICA CONTRA LA MUJER O MIEMBROS DEL NUCLEO FAMILIAR;SIN DATO
2024;18;10102.01;DETENIDO;SOLTERO/A;NO APLICA;24;HOMBRE;MASCULINO;ECUATORIANO;MONTUBIO/A;0;NO APLICA;NORMAL;A PIE;NINGUNA;NINGUNA;1/5/2024;21:30;VIA PUBLICA;AREAS DE ACCESO PUBLICO;11D01;11D01C09;11D01C09S01;ZONA 7;LOJA;LOJA;IV CENTENARIO;IV CENTENARIO 1;11;1101;110150;LOJA;LOJA;LOJA;NO;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;ASESINATO;SIN DATO
2024;19;60124.01;APREHENDIDO;SOLTERO/A;SIN DATO;29;HOMBRE;MASCULINO;ECUATORIANO;MESTIZO/A;0;SIN DATO;NORMAL;A PIE;NINGUNA;NINGUNA;21-01-24;10:30;ESPACIO PRIVADO;AREA PRIVADA;09D21;09D21C01;09D21C01S01;ZONA 5;GUAYAS;YAGUACHI;YAGUACHI SUR;YAGUACHI SUR 1;9;920;92050;GUAYAS;SAN JACINTO DE YAGUACHI;SAN JACINTO DE YAGUACHI;SI;DELITOS POR LA PRODUCCION O TRAFICO ILICITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACION;TRAFICO ILICITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACION;SIN DATO
2024;20;110900.06;APREHENDIDO;SIN DATO;SIN DATO;0;MUJER;FEMENINO;COLOMBIANO;MESTIZO/A;0;SIN DATO;NORMAL;A PIE;NINGUNA;NINGUNA;21-01-24;19:00;CRS FEMENINO-GUAYAQUIL;CENTRO DE REHABILITACION SOCIAL (CRS);09D07;09D07C07;09D07C07S02;ZONA 8;DMG;PASCUALES;SAN FRANCISCO;SAN FRANCISCO 2;9;901;90150;GUAYAS;GUAYAQUIL;GUAYAQUIL;SI;CONTRAVENCIONES;CONTRAVENCIONES DE CUARTA CLASE;LA PERSONA QUE VOLUNTARIAMENTE HIERA O GOLPEE A OTRO, CAUSANDOLE LESIONES O INCAPACIDAD PARA EL TRABAJO, QUE NO EXCEDAN DE TRES DIAS.
2024;21;0;APREHENDIDO;SOLTERO/A;REGULAR;35;HOMBRE;MASCULINO;ECUATORIANO;MESTIZO/A;0;SIN DATO;NORMAL;A PIE;NINGUNA;NINGUNA;31-01-24;10:30;VIA PUBLICA;AREAS DE ACCESO PUBLICO;06D01;06D01C07;06D01C07S01;ZONA 3;CHIMBORAZO;RIOBAMBA;SAN ALFONSO;SAN ALFONSO 1;6;601;60150;CHIMBORAZO;RIOBAMBA;RIOBAMBA;SI;DELITOS CONTRA EL DERECHO A LA PROPIEDAD;ROBO DE BIENES, ACCESORIO Y AUTOPARTES DE VEHICULOS;ESTRUCHE
2024;22;70490.03;DETENIDO;CASADO/A;REGULAR;42;HOMBRE;MASCULINO;ECUATORIANO;MESTIZO/A;0;SIN DATO;NORMAL;A PIE;NINGUNA;NINGUNA;1/7/2024;2:00;CASA/VILLA;VIVIENDA/ALOJAMIENTO;12D06;12D06C04;12D06C04S01;ZONA 5;LOS RIOS;BUENA FE;BUENA FE ESTE;BUENA FE ESTE 1;12;1210;121050;LOS RIOS;BUENA FE;SAN JACINTO DE BUENA FE;SI;DELITOS CONTRA EL DERECHO A LA PROPIEDAD;RECEPTACION;SIN DATO
2024;23;90111.03;APREHENDIDO;SOLTERO/A;SIN DATO;44;HOMBRE;MASCULINO;ECUATORIANO;MESTIZO/A;0;SIN DATO;ALIENTO A LICOR;A PIE;ARMAS DE FUEGO;PISTOLA;28-01-24;0:40;ESPACIO PRIVADO;AREA PRIVADA;09D07;09D07C06;09D07C06S02;ZONA 8;DMG;PASCUALES;PASCUALES;PASCUALES 2;9;901;90150;GUAYAS;GUAYAQUIL;GUAYAQUIL;SI;DELITOS CONTRA LA SEGURIDAD PUBLICA;TENENCIA Y PORTE DE ARMAS;SIN DATO
2024;24;60124.01;APREHENDIDO;SOLTERO/A;NO APLICA;42;HOMBRE;MASCULINO;ECUATORIANO;MESTIZO/A;0;NO APLICA;NORMAL;A PIE;NINGUNA;NINGUNA;1/4/2024;17:15;VIA PUBLICA;AREAS DE ACCESO PUBLICO;17D04;17D04C05;17D04C05S03;ZONA 9;DMQ;MANUELA SAENZ;EL PLACER;EL PLACER 3;17;1701;170150;PICHINCHA;QUITO;QUITO;SI;DELITOS POR LA PRODUCCION O TRAFICO ILICITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACION;TRAFICO ILICITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACION;SIN DATO
2024;25;60124.01;APREHENDIDO;SOLTERO/A;NO APLICA;42;HOMBRE;MASCULINO;ECUATORIANO;MESTIZO/A;0;NO APLICA;NORMAL;A PIE;NINGUNA;NINGUNA;23-01-24;15:45;PARQUE Y PLAZA;AREAS DE ACCESO PUBLICO;17D05;17D05C10;17D05C10S03;ZONA 9;DMQ;EUGENIO ESPEJO;IÑAQUITO;IÑAQUITO 3;17;1701;170150;PICHINCHA;QUITO;QUITO;SI;DELITOS POR LA PRODUCCION O TRAFICO ILICITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACION;TRAFICO ILICITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACION;SIN DATO
